"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
10,0.127221738024645,0.0925726063402436,0.330529188947151,1.83353068438653,-14.4921539386419,7.86029192437443,1.633140325272,0.126908560966049,"regularclimate"
11,0.137144036963259,0.0913012607824448,0.366547872989999,1.92911738434037,-11.4844907651821,7.29160393803998,1.6559418458485,0.130495299806794,"regularclimate"
12,0.288628445316137,0.103292113475478,0.134257382561999,1.53238575981996,12.0682807771848,3.46466197711279,2.45175115517466,0.231474990667737,"regularclimate"
13,0.25476597866929,0.0953544500747623,0.314281412921161,1.91460567285969,-50.167626063214,3.92517087730185,2.67214331327799,0.253423129394538,"regularclimate"
14,0.26293552620606,0.105659398700997,0.422515539827983,1.86778288116232,-5.53134497928543,3.80321371717685,2.32245863317917,0.217616833538044,"regularclimate"
15,-0.0813032200174456,0.103886696288607,0.039620913163277,1.70821428401219,44.1202150303565,-12.2996358543416,0.747098537711442,-0.0747081554117041,"regularclimate"
16,-0.142572354530681,0.0984410856565526,0.343602853291492,1.96951094297675,4.32122439382706,-7.0139825023708,0.588036890663768,-0.135092247102905,"regularclimate"
17,-0.384462321186215,0.113257835006608,0.461606387761327,1.89406692328265,9.08852663795923,-2.60103512072292,0.333386070477721,-0.272666293164313,"regularclimate"
18,-0.0729388337378713,0.112471279147825,0.485002083573147,1.95096561058732,8.33912172609143,-13.7101177624229,0.762552966146261,-0.0694974625794625,"regularclimate"
19,0.0287285701340797,0.110012465286544,0.133501643978381,1.68566100994367,-9.31089901960619,34.808554527179,1.10540833545119,0.0258685911860329,"regularclimate"
20,0.0048462003771644,0.110331166081622,0.237285302834894,1.69308486726851,-13.6552155049068,206.347225078035,1.0188610448756,0.0048179540555197,"regularclimate"
21,-0.0591566446399288,0.111840466992633,0.261054456792431,1.64730821574342,-18.8668624041633,-16.9042718038986,0.804596272639244,-0.0558098492834058,"regularclimate"
22,-0.0115209743869623,0.10738008499267,0.370218959534747,1.58148610944524,-11.7798362956468,-86.7982139715239,0.962589085394981,-0.00982246791226133,"regularclimate"
23,0.0427733747807342,0.107011682732019,0.323469047714331,1.5782918869319,-9.82235644404428,23.3790297147752,1.17981001024012,0.0427138977746129,"regularclimate"
24,0.221293875457881,0.0950791070870812,0.597124275972807,2.1866628200523,22.3626700016954,4.51887788548549,2.35575124825155,0.221260824107317,"regularclimate"
25,0.120792047112316,0.0900487394216643,0.474146029405957,2.32669415259487,-17.2528911898997,8.27869072431703,1.5949618116514,0.120787662124408,"regularclimate"
26,0.368061377915115,0.102614988567963,0.0597856486615124,2.37671356972422,34.2500994449992,2.71693815217588,2.7032709300029,0.256369164952186,"regularclimate"
27,0.0311678932557534,0.0852849780206379,0.398638886843563,2.4801832390514,5.52383800190293,32.0842987940933,1.12040392021669,0.029351514413676,"regularclimate"
28,-0.12432170047514,0.0818240977570962,0.349408360347958,2.7284303628037,4.02540612589876,-8.04364802104653,0.618842180429951,-0.122306112999182,"regularclimate"
29,-0.0882816084575859,0.0812749514126111,0.380431283645085,2.71415438479996,3.94048508675027,-11.3273876345427,0.785990294240217,-0.0617818662302164,"regularclimate"
30,0.306936806477999,0.0989382507515017,0.0926415248355056,2.39154473842297,31.2910301882996,3.25799962368371,2.31746586801784,0.217065668844978,"regularclimate"
31,0.190879016765273,0.0963653488802723,0.415380028738428,2.73928551342662,-11.9193588753595,5.23892053168797,2.07543426223607,0.188753870120742,"regularclimate"
32,0.162791188570309,0.0947671791728995,0.409818025867283,2.83459073500218,-10.2387575132755,6.14283861910686,1.7012282372694,0.137472452069123,"regularclimate"
33,0.294256036312357,0.101680482065323,0.175552755605021,2.19861502973288,77.8318777535889,3.39840097260905,2.73279610818757,0.259130782979085,"regularclimate"
34,0.159564371822576,0.10530855758921,0.351958339871181,2.04408710798998,-14.4266414909408,6.26706318320188,1.78462191646713,0.149839236708055,"regularclimate"
35,0.0957372647493474,0.1080730458916,0.153814438898354,1.7998703524487,-5376.41871892242,10.4452535030965,1.4236923798935,0.0913730278215532,"regularclimate"
36,0.299923053216901,0.0947724915393072,0.0987278335346031,1.64274054648984,-10.1918331156508,3.33418851693542,2.85767768022159,0.270474271947067,"regularclimate"
37,0.183651036563711,0.0977091758020849,0.00757440637949322,1.49612237663959,-7.10345484258513,5.44510947888434,1.93665577491758,0.170934582736406,"regularclimate"
38,0.0701863597552255,0.10286653547245,0.198362973976286,1.35346563823838,-26.41935452618,14.2477826672803,1.28094510662044,0.0640052478845993,"regularclimate"
39,-0.124485012306547,0.0963939078680786,0.592361861715025,1.79627356890154,7.73978297206123,-8.03309556284153,0.618787591170682,-0.122328250060432,"regularclimate"
40,-0.436296292033494,0.0758798346377602,0.769031949870607,1.96346156731785,2.29541415969794,-2.29202039590845,0.159647987777492,-0.434267426952093,"regularclimate"
41,-0.403333019576231,0.0787490330401812,0.713725315070975,1.7800556139645,2.57029730726992,-2.47934077167961,0.24796401258563,-0.340268404937195,"regularclimate"
42,-0.26301075330124,0.0883166490306334,0.393565158375953,1.43745140630666,11.5626532069457,-3.80212591100656,0.461472375536882,-0.194956604096373,"regularclimate"
43,0.0421638859700822,0.0823144230272418,0.127133338596099,1.33654574744336,-10.695247474209,23.7169790448053,1.17254130940981,0.0411149116947929,"regularclimate"
